timestamp,rnti,dl_bytes,ul_bytes,mcs_ul,nprb,snr,bler
2026-04-29T14:36:48.791814,6584,0,393,0,5,43.0,0.00000
2026-04-29T14:36:48.792041,f055,0,394,0,5,51.0,0.00000
2026-04-29T14:36:48.791545,6584,0,393,0,5,43.0,0.00000
2026-04-29T14:36:48.791721,f055,0,394,0,5,51.0,0.00000
2026-04-29T14:36:49.448552,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:36:49.448594,f055,0,394,0,5,30.0,0.00000
2026-04-29T14:36:49.447420,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:36:49.447466,f055,0,394,0,5,30.0,0.00000
2026-04-29T14:36:50.089560,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:36:50.089606,f055,0,394,0,5,36.0,0.00000
2026-04-29T14:36:50.088911,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:36:50.089155,f055,0,394,0,5,36.0,0.00000
2026-04-29T14:36:50.725918,6584,0,393,0,5,30.0,0.00000
2026-04-29T14:36:50.725961,f055,0,394,0,5,43.0,0.00000
2026-04-29T14:36:50.725810,6584,0,393,0,5,30.0,0.00000
2026-04-29T14:36:50.725931,f055,0,394,0,5,43.0,0.00000
2026-04-29T14:36:51.352200,6584,0,393,0,5,36.0,0.00000
2026-04-29T14:36:51.352674,f055,0,394,0,5,51.0,0.00000
2026-04-29T14:36:51.352415,6584,0,393,0,5,36.0,0.00000
2026-04-29T14:36:51.352595,f055,0,394,0,5,51.0,0.00000
2026-04-29T14:36:51.977666,6584,0,393,0,5,43.0,0.00000
2026-04-29T14:36:51.977773,f055,0,394,0,5,51.0,0.00000
2026-04-29T14:36:51.978197,6584,0,393,0,5,43.0,0.00000
2026-04-29T14:36:51.978744,f055,0,394,0,5,51.0,0.00000
2026-04-29T14:36:52.606541,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:36:52.606811,f055,0,394,0,5,30.0,0.00000
2026-04-29T14:36:52.605950,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:36:52.606142,f055,0,394,0,5,30.0,0.00000
2026-04-29T14:36:53.240726,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:36:53.240789,f055,0,394,0,5,36.0,0.00000
2026-04-29T14:36:53.241054,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:36:53.241144,f055,0,394,0,5,36.0,0.00000
2026-04-29T14:36:53.860826,6584,0,393,0,5,30.0,0.00000
2026-04-29T14:36:53.861042,f055,0,394,0,5,43.0,0.00000
2026-04-29T14:36:53.860267,6584,0,393,0,5,30.0,0.00000
2026-04-29T14:36:53.860308,f055,0,394,0,5,43.0,0.00000
2026-04-29T14:36:54.482004,6584,0,393,0,5,36.0,0.00000
2026-04-29T14:36:54.482239,f055,0,394,0,5,51.0,0.00000
2026-04-29T14:36:54.484918,6584,0,393,0,5,36.0,0.00000
2026-04-29T14:36:54.484964,f055,0,394,0,5,51.0,0.00000
2026-04-29T14:36:55.114602,6584,0,393,0,5,43.0,0.00000
2026-04-29T14:36:55.114813,f055,0,394,0,5,51.0,0.00000
2026-04-29T14:36:55.115348,6584,0,393,0,5,43.0,0.00000
2026-04-29T14:36:55.115455,f055,0,394,0,5,51.0,0.00000
2026-04-29T14:36:55.734568,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:36:55.734611,f055,0,394,0,5,30.0,0.00000
2026-04-29T14:36:55.733672,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:36:55.734074,f055,0,394,0,5,30.0,0.00000
2026-04-29T14:36:56.365796,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:36:56.366043,f055,0,394,0,5,36.0,0.00000
2026-04-29T14:36:56.366281,6584,0,393,0,5,51.0,0.00000
