timestamp,fairness,total_dl_mbps,ue_count
2026-04-29 14:37:00,1.0,8.8e-05,2.0
2026-04-29 14:37:20,0.5022084420558742,0.3064096,2.0
2026-04-29 14:37:30,1.0,43.7739232,2.0
2026-04-29 14:37:40,1.0,39.9810512,2.0
2026-04-29 14:37:50,1.0,40.2987152,2.0
2026-04-29 14:38:00,1.0,43.034187200000005,2.0
2026-04-29 14:38:10,0.6939227347624428,45.8922976,2.0
2026-04-29 14:38:20,0.9999417808249076,87.5692128,2.0
2026-04-29 14:38:30,0.9999990437883891,77.70755199999999,2.0
2026-04-29 14:38:40,0.9999984198681577,81.8803664,2.0
2026-04-29 14:38:50,0.9999994432559939,87.2764688,2.0
2026-04-29 14:39:00,0.9999972906294302,80.0088064,2.0
2026-04-29 14:39:10,0.9999976355347311,82.36700959999999,2.0
2026-04-29 14:39:20,0.9999995906073816,80.6929136,2.0
2026-04-29 14:39:30,0.9999995057795077,80.26078240000001,2.0
2026-04-29 14:39:40,0.9999990013330965,86.9699456,2.0
2026-04-29 14:39:50,0.9999990929461751,80.2625664,2.0
2026-04-29 14:40:00,0.9999842198006594,6.203912,2.0
